DISTRICT,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
KANCHIPURAM,29.1,66,490.8,641.8
TIRUVALLUR,31.5,67.2,451.6,589.3
THENI,35.4,168.3,158.4,357.9
NAMAKKAL,13.9,148.6,339.3,291.6
KARUR,17.5,109.2,213.6,314.7
PERAMBALUR,21.4,108.9,290.7,440.9
TIRUVARUR,60.1,97.7,296.4,719.1
KRISHNAGIRI,10.7,151.6,399,289.4
ARIYALUR,32.5,101.8,392,545.5
TIRUPUR,14,135.1,154.8,314.3
PONDICHERRY,37.5,70.9,385,843.1
KARAIKAL,96.2,66.6,293.1,1048.5
MAHE,37.5,70.9,385,843.1
YANAM,37.5,70.9,385,843.1
UTTAR KANNADA,0.4,138.8,2720.9,210.4
DAKSHIN KANDA,2.6,227.1,3351.6,334.5
UDUPI,1.8,227.3,3759.7,317.2
BELGAM,1.6,111.2,574.1,152.3
BIDAR,12,63.2,694.9,120.6
BIJAPUR,5.1,71.8,436,143.5
DHARWAD,5.5,136,484,166.2
GULBARGA,7.2,62.3,620.5,130.6
YADGIR,8,62.5,610.8,153.2
RAICHUR,3.4,62.3,461.6,137.8
BAGALKOTE,3.3,85.3,363.3,145.1
GADAG,2.2,109.1,368.3,161.6
HAVERI,0.8,126.1,495.1,169.9
KOPPAL,1.6,72.2,382.6,141.9
BANGALORE RUR,7.5,136.9,451.9,240.7
BELLARY,2.8,87,376,157
CHIKMAGALUR,3.6,178.1,1657.3,238.5
CHITRADURGA,2.6,95.1,271,159
KODAGU,7.7,261,2181.9,290.8
HASSAN,3.8,168,574.3,221
KOLAR,7.2,112.6,382.7,228.6
MANDYA,5.5,158,285.1,214.1
MYSORE,6,194.7,343.6,214.3
SHIMOGA,0.9,122.6,1514,190.4
TUMKUR,5.4,128.2,359.2,205.7
BANGALORE URB,9,153.7,475.7,231.6
CHAMARAJANAGA,9.4,213.6,320.6,244.8
DAVANGERE,1.9,113.2,384.9,176.7
RAMNAGAR(BNGR),6.2,180.4,454,243.1
CHICKBALLAPUR,6.7,104.8,411.8,225.2
ALAPPUZHA,45.4,477.8,1745.9,572.1
CANNUR,4.5,300.5,2669,345.1
ERNAKULAM,32,443.6,2065,489.3
KOTTAYAM,37.9,460.2,1897.3,535.1
KOZHIKODE,6.2,352.6,2603.1,422.2
MALAPPURAM,5.6,320.8,2060.4,448.3
PALAKKAD,9.4,279.9,1572.7,428
KOLLAM,51.2,469.6,1332.3,638.6
THRISSUR,10.9,385.3,2197.5,469.4
THIRUVANANTHA,40.4,368.8,871.3,522.7
IDUKKI,35.5,426.6,2276.2,564.2
KASARGOD,3.3,272.9,3007.5,337.9
PATHANAMTHITTA,65,553.5,1715.7,624.2
WAYANAD,13.1,275.4,2632.1,332.5
LAKSHADWEEP,35.5,232.4,998.5,333.6
