DISTRICT,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
MALKANGIRI,7.3,107.3,1324.1,134
NAWARANGPUR,18.5,172.4,1347.3,122.3
NAYAGARH,36.1,115.9,1095.2,202.9
KHURDA,36,125.8,1088,219.7
BARGARH,23.6,52.4,1125.8,63.1
JHARSUGUDA,37.8,73.6,1281.8,81.1
DEOGARH,32,68.1,1361.1,72.3
RAYAGADA,35.5,188.5,960.5,142.4
GAJAPATI,44.5,280.1,930.3,207.2
JAGATSINGHAPU,39.7,183.7,1120.8,220.8
BOUDHGARH,38.9,134.2,1122.3,152.9
SONEPUR,20.3,63.2,1243.4,68.5
BOKARO,25.5,75.5,1048.2,98.3
DHANBAD,29.4,87.3,1122.3,116.2
DUMKA,29.9,112.3,1096.9,142.4
HAZARIBAG,29.4,62,1005.9,98.7
PALAMU,30.1,33,974.5,58.3
RANCHI,48.7,93.6,1160.2,100.7
SAHIBGANJ,19.2,119.8,1299.3,115.4
WEST SINGHBHUM,34.7,103.7,1088.4,78.8
DEOGHAR,25.5,71.1,976.2,89.3
GIRIDIH,21.4,72.3,1065,94
GODDA,21.4,86,943.2,93.8
GUMLA,42.6,91.7,1197,90
LOHARDAGA,35,77.9,1005,79.2
CHATRA,37.9,34.8,1031.3,67.9
KODERMA,33.1,51.5,929.6,102
PAKUR,27.4,135.5,1286.2,163.3
EAST SINGHBHU,33.1,115.9,1057.6,86.1
GARHWA,25.6,27.9,927.8,60.5
SERAIKELA-KHA,39.1,97.5,1135.5,87.5
JAMTARA,35.1,101.2,1193.8,145.9
LATEHAR,35.2,52.1,1021.8,82.4
SIMDEGA,38,74.4,1383.1,77.6
KHUNTI(RANCHI,47,87,1251.1,97.7
RAMGARH,27.5,81.3,1053.8,85.7
BHAGALPUR,28.2,98.9,977.3,103.5
EAST CHAMPARAN,22.4,70.1,1021.6,83.6
DARBHANGA,25.5,93.5,924.6,80
GAYA,25.5,32.8,878.7,66.9
MUNGER,19.9,69.2,974,83.7
MUZAFFARPUR,22.3,74.6,981.1,76.5
WEST CHAMPARAN,29.4,87.4,1275,80.2
PURNEA,18.1,168.2,1313.3,98.6
GOPALGANJ,25.4,51.1,989.9,69.1
MADHUBANI,20.6,119.4,1059.5,93.8
AURANGABAD,29.3,27.9,859.6,58.1
BEGUSARAI,16.5,79.4,921.6,73.2
BHOJPUR,25.9,42.1,924.4,59.1
NALANDA,20.8,43.1,876.8,61.5
PATNA,22.4,44.1,941.3,67
KATIHAR,19.7,129.8,1109.9,83.3
KHAGARIA,13.7,69.4,1057.7,93.1
SARAN,25.7,53.4,973.5,71.2
MADHEPURA,21.4,126.4,1153.5,91.4
NAWADA,22.5,49.3,896.6,73.4
ROHTAS,25.8,28.9,834.5,59.9
SAMASTIPUR,23.2,68.8,1025.2,75.1
SITAMARHI,18.2,107,1084.4,83.5
SIWAN,27.7,46.8,1004.2,56.7
VAISHALI,23.7,48.6,1021.6,82.6
JAHANABAD,20.4,43.2,820.4,52.6
BUXAR,20.8,28.1,861.2,65.3
ARARIA,21.8,166.7,1347,96.7
BANKA,19.4,73.3,865.9,95.9
BHABUA,42.8,34.1,995.1,54.3
JAMUI,18.3,53.5,951.8,83.7
KISHANGANJ,18.4,224.9,1755.5,91.8
SHEIKHPURA,21.9,51.4,865.7,69.4
SUPAUL,16.3,119,1055.6,82.9
LAKHISARAI,19.9,69.2,974,83.7
SHEOHAR,18.2,107,1084.4,83.5
ARWAL,22.7,19.6,789.7,42.4
SAHARSA,17,159.5,1408.1,108.3
ALLAHABAD,27.5,17.8,808.7,48.6
AZAMGARH,22.8,30.4,952.7,52.4
BAHRAICH,36.8,54.4,993.8,63.6
BALLIA,19.2,32.2,827.2,49.6
BANDA,29.2,22.9,840.4,50.7
BARABANKI,31.3,31.7,930.5,61.9
BASTI,25.8,37.1,943.6,56.2
DEORIA,31.5,41.9,950.9,62.7
FAIZABAD,31.1,30.5,989.7,62.7
FARRUKHABAD,26.2,25.8,743.4,57.9
FATEHPUR,30,20.5,812.5,52.2
GHAZIPUR,25.1,26.6,883,61.1
GONDA,26.3,36.9,1027.2,69.7
GORAKHPUR,29.8,49.6,1175.5,83.4
HARDOI,31.3,32.2,787.9,66.8
JAUNPUR,25.6,23.3,874.1,45.1
KANPUR NAGAR,28.7,16.3,696.8,64.6
KHERI LAKHIMP,37.6,47.4,926.1,74.2
LUCKNOW,30.4,23.6,772.5,58.8
MIRZAPUR,30.6,24.1,901.1,47.4
PRATAPGARH,25.1,19.1,851.8,47.6
RAE BARELI,23.3,16.4,750.3,63
SITAPUR,30.6,35.6,864.8,72.3
SULTANPUR,21.9,27.9,840.7,54
UNNAO,30,21.3,790.3,65.6
VARANASI,32.9,26,923.5,55.2
SONBHADRA,32,28.5,916.9,47.7
MAHARAJGANJ,27.4,64.8,1214.1,82.8
